full_date,month,year,date_id
2023-11-24,11,2023,1
2023-02-27,2,2023,2
2023-01-13,1,2023,3
2023-05-21,5,2023,4
2023-05-06,5,2023,5
2023-04-25,4,2023,6
2023-03-13,3,2023,7
2023-02-22,2,2023,8
2023-12-13,12,2023,9
2023-10-07,10,2023,10
2023-02-14,2,2023,11
2023-10-30,10,2023,12
2023-08-05,8,2023,13
2023-01-17,1,2023,14
2023-01-16,1,2023,15
2023-02-17,2,2023,16
2023-04-22,4,2023,17
2023-04-30,4,2023,18
2023-09-16,9,2023,19
2023-11-05,11,2023,20
2023-01-14,1,2023,21
2023-10-15,10,2023,22
2023-04-12,4,2023,23
2023-11-29,11,2023,24
2023-12-26,12,2023,25
2023-08-03,8,2023,26
2023-04-23,4,2023,27
2023-08-18,8,2023,28
2023-10-29,10,2023,29
2023-05-23,5,2023,30
2023-01-04,1,2023,31
2023-03-23,3,2023,32
2023-12-24,12,2023,33
2023-06-24,6,2023,34
2023-03-21,3,2023,35
2023-04-21,4,2023,36
2023-06-22,6,2023,37
2023-07-14,7,2023,38
2023-02-19,2,2023,39
2023-07-03,7,2023,40
2023-06-26,6,2023,41
2023-11-06,11,2023,42
2023-05-16,5,2023,43
2023-01-23,1,2023,44
2023-08-24,8,2023,45
2023-10-02,10,2023,46
2023-03-05,3,2023,47
2023-07-13,7,2023,48
2023-02-10,2,2023,49
2023-10-10,10,2023,50
2023-05-31,5,2023,51
2023-11-18,11,2023,52
2023-11-13,11,2023,53
2023-07-05,7,2023,54
2023-10-23,10,2023,55
2023-04-09,4,2023,56
2023-12-27,12,2023,57
2023-02-05,2,2023,58
2023-01-24,1,2023,59
2023-12-05,12,2023,60
2023-04-27,4,2023,61
2023-05-29,5,2023,62
2023-02-21,2,2023,63
2023-08-21,8,2023,64
2023-11-22,11,2023,65
2023-07-06,7,2023,66
2023-03-25,3,2023,67
2023-07-09,7,2023,68
2023-07-01,7,2023,69
2023-04-18,4,2023,70
2023-12-10,12,2023,71
2023-05-17,5,2023,72
2023-12-16,12,2023,73
