Transaction ID,date_id,Customer ID,product_id,Quantity,Total Amount
1,1,CUST001,1,3,150
2,2,CUST002,2,2,1000
3,3,CUST003,3,1,30
4,4,CUST004,2,1,500
5,5,CUST005,1,2,100
6,6,CUST006,4,1,30
7,7,CUST007,5,2,50
8,8,CUST008,6,4,100
9,9,CUST009,7,2,600
10,10,CUST010,8,4,200
11,11,CUST011,8,2,100
12,12,CUST012,9,3,75
13,13,CUST013,10,3,1500
14,14,CUST014,11,4,120
15,15,CUST015,10,4,2000
16,16,CUST016,2,3,1500
17,17,CUST017,5,4,100
18,18,CUST018,6,2,50
19,19,CUST019,5,2,50
20,20,CUST020,12,3,900
21,21,CUST021,13,1,500
22,22,CUST022,8,2,100
23,23,CUST023,11,4,120
24,24,CUST024,12,1,300
25,25,CUST025,1,1,50
26,10,CUST026,10,2,1000
27,26,CUST027,9,2,50
28,27,CUST028,13,1,500
29,28,CUST029,3,1,30
30,29,CUST030,14,3,900
31,30,CUST031,7,4,1200
32,31,CUST032,4,3,90
33,32,CUST033,15,2,100
34,33,CUST034,8,3,150
35,13,CUST035,14,3,900
36,34,CUST036,14,3,900
37,30,CUST037,9,3,75
38,35,CUST038,1,4,200
39,36,CUST039,11,4,120
40,37,CUST040,1,1,50
41,8,CUST041,5,2,50
42,16,CUST042,12,3,900
43,38,CUST043,12,1,300
44,39,CUST044,5,1,25
45,40,CUST045,3,1,30
46,41,CUST046,7,4,1200
47,42,CUST047,13,3,1500
48,43,CUST048,7,3,900
49,44,CUST049,10,2,1000
50,45,CUST050,9,3,75
51,46,CUST051,9,3,75
52,47,CUST052,14,1,300
53,48,CUST053,15,2,100
54,49,CUST054,10,3,1500
55,50,CUST055,4,4,120
56,51,CUST056,12,3,900
57,52,CUST057,4,1,30
58,53,CUST058,12,4,1200
59,54,CUST059,8,1,50
60,55,CUST060,1,3,150
61,56,CUST061,1,4,200
62,57,CUST062,1,2,100
63,58,CUST063,6,2,50
64,59,CUST064,5,4,100
65,60,CUST065,10,4,2000
66,61,CUST066,3,1,30
67,62,CUST067,14,4,1200
68,49,CUST068,7,1,300
69,18,CUST069,9,3,75
70,63,CUST070,12,1,300
71,38,CUST071,9,4,100
72,30,CUST072,10,4,2000
73,64,CUST073,3,3,90
74,65,CUST074,13,4,2000
75,66,CUST075,1,4,200
76,67,CUST076,15,2,100
77,68,CUST077,8,2,100
78,69,CUST078,2,3,1500
79,70,CUST079,14,1,300
80,71,CUST080,11,2,60
81,72,CUST081,15,1,50
82,25,CUST082,1,4,200
83,73,CUST083,15,2,100
84,74,CUST084,3,3,90
85,75,CUST085,8,3,150
86,76,CUST086,4,3,90
87,65,CUST087,1,2,100
88,77,CUST088,2,1,500
89,78,CUST089,10,4,2000
90,5,CUST090,3,1,30
91,67,CUST091,10,1,500
92,79,CUST092,3,4,120
93,38,CUST093,13,4,2000
94,80,CUST094,13,2,1000
95,1,CUST095,11,2,60
96,81,CUST096,12,2,600
97,82,CUST097,13,2,1000
